,X,Y,Z,Roll,Pitch,Yaw
149,0.198591,-9.19788,39.4672,12.0906,4.87237,-52.7704
150,0.209411,-8.97423,39.7962,12.2802,4.66566,-51.9534
151,0.366034,-8.77329,40.1731,12.5461,4.39386,-51.1942
152,0.581202,-8.65539,40.4235,12.794,4.18282,-50.6154
153,0.75676,-8.63637,40.7883,13.1092,3.96371,-50.118
154,0.92032,-8.41212,40.8581,13.2843,4.22037,-50.9768
155,1.44709,-8.50133,40.7283,13.8292,4.81744,-53.7524
156,1.26633,-8.60964,40.5991,14.1405,5.35115,-55.4427
157,1.11587,-8.87843,40.4146,14.0632,6.28615,-58.3334
158,0.431326,-9.01784,40.5093,14.1559,6.94251,-59.6475
159,0.133365,-8.97448,40.4337,14.5584,6.48026,-57.9779
160,-0.24543,-8.9605,40.7276,14.7756,6.68929,-58.0884
161,-0.125567,-8.61256,40.9467,15.2808,6.42414,-57.043
162,0.312186,-8.51414,40.6109,15.539,6.20524,-56.9406
163,0.333557,-8.60842,40.8715,15.9149,5.54185,-55.2225
164,0.623377,-9.0699,40.3376,15.5445,6.80521,-59.3376
165,0.678825,-9.21426,40.3824,15.4899,7.1699,-60.4534
166,0.282464,-9.34099,40.5244,15.1943,7.73253,-61.6959
167,0.308007,-9.44987,40.4093,15.168,7.80224,-61.9541
168,0.310822,-9.43969,40.5113,15.4478,7.24593,-60.3655
169,0.107178,-9.43373,40.6092,15.8679,6.11314,-57.0312
170,0.416629,-9.09609,40.6103,16.1142,5.89214,-56.3905
171,0.478502,-8.98638,40.8469,16.2204,6.07145,-56.5398
172,0.609002,-9.00985,40.917,16.4936,5.45101,-54.9442
173,0.839029,-8.93157,41.0182,16.606,5.483,-55.0416
174,0.87006,-9.04679,41.0972,16.4763,5.7786,-55.6947
175,0.442832,-9.37594,41.2596,16.2033,6.31254,-56.6846
176,0.206798,-9.46022,41.6918,16.3335,6.1056,-55.628
177,-0.0107206,-9.50628,41.8172,16.2254,6.28872,-55.8912
178,-0.0553298,-9.45374,42.1833,16.4562,6.06096,-54.9882
179,-0.133896,-9.56057,42.5058,16.7696,5.30545,-53.0906
180,-0.0255129,-9.42538,42.8814,16.8266,5.72943,-54.3409
181,0.310999,-9.22042,42.9986,16.6759,6.69395,-57.0556
182,0.36838,-9.70735,43.1793,16.5345,7.22898,-58.967
183,0.26361,-9.63813,43.4029,16.3493,7.93275,-60.6471
184,0.204475,-10.0074,42.8678,16.0784,8.44209,-62.6555
185,0.113716,-9.90194,42.4059,16.1036,8.29349,-62.5334
186,-0.137903,-10.0306,41.9485,16.1514,7.83787,-61.6667
187,-0.0773508,-9.71735,41.8714,16.2352,7.88147,-61.6993
188,0.246105,-9.36533,41.8758,16.5922,7.68098,-61.1556
189,0.294045,-9.50224,41.8902,17.0546,6.71901,-58.973
190,0.53675,-9.26162,42.0649,17.1103,7.37467,-60.6667
191,0.830868,-9.43647,42.0466,17.3718,7.35204,-61.2762
192,0.709119,-9.55829,42.2874,17.6925,6.90887,-60.3537
193,0.469666,-9.86285,42.3835,17.6357,7.3752,-61.8857
194,0.651134,-9.64926,42.3588,17.7635,7.27833,-61.7416
195,0.636527,-9.76265,42.4722,18.0859,6.37975,-59.749
196,0.464134,-9.63019,42.7989,18.262,6.05944,-58.8968
197,0.909415,-9.16546,43.1503,18.7477,5.57329,-57.7944
